cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A16.MAA001894.3_39_F.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,F,3_39_F,13.160704898008898,8.572446109912033,MAA001894,TRUE,2
A17.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,F,3_38_F,1.9860845255396353,-6.129425512376543,B003275,FALSE,NA
A17.B003290.3_38_F.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,F,3_38_F,44.359743509421634,1.5337250456944347,B003290,FALSE,NA
A17.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_10_M,19.58921573967444,17.395553987899135,MAA000560,TRUE,1
A17.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,neuron,CL:0000540,inhibitory neurons,9,M,3_10_M,42.471117961717304,3.386661288490366,MAA000561,FALSE,NA
A17.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,1,M,3_10_M,-18.267813768780112,21.043359847886492,MAA000581,FALSE,NA
A17.MAA000641.3_9_M.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,4.146759554594049,0.20115440494291983,MAA000641,FALSE,NA
A17.MAA001895.3_38_F.1.1,Brain_Non-Myeloid,Cortex,endothelial cell,CL:0000115,NA,1,F,3_38_F,-14.650586601362857,22.786409107473006,MAA001895,FALSE,NA
A18.B000621.3_56_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,F,3_56_F,2.372593257436767,0.38183876590564153,B000621,FALSE,NA
A18.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_10_M,-6.329067772711331,-7.986318231780587,MAA000560,FALSE,NA
A18.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_10_M,35.40993933713684,1.1819864152565946,MAA000561,FALSE,NA
