cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids
O20.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,common lymphoid progenitor,CL:0000051,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
O20.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,hematopoietic precursor cell,CL:0008001,NA,4,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA001888.3_39_F.1.1,Marrow,T-cells,Multiple,MAA001888,immature natural killer cell,CL:0000823,NA,12,F,3_39_F,TRUE,5,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,monocyte,CL:0000576,NA,7,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1
O21.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,naive B cell,CL:0000788,NA,1,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,immature T cell,CL:0002420,immature T cell,11,M,3_8_M,TRUE,1,TRUE,1,FALSE,NA,FALSE,NA,FALSE,NA
O21.D042467.3_9_M.1.1,Marrow,T-cells,Multiple,D042467,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
