"","plate.barcode","cell_ontology_class","cell_ontology_class.subcell_ontology_class"
"J2.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"K5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L7.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"M9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D13.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"E16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"L8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"O18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"O17.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"P20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A3.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"B9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I3.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"J5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K8.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"L10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M12.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"N15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"P22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A8.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"B12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"C14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"E19.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"F22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I4.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"J6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"L11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N19.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"P2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A11.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"B15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C16.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"D18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"G2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"P3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C18.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"D20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G4.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"H7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I8.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"J10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L15.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"M17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C19.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"D21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"F2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H8.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"I10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K15.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"L17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M18.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"N21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A13.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"I11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J13.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"K16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P6.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"A14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"B18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"F3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A9.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"A10.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A12.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"A11.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A13.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"A14.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"A15.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"A16.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"A17.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"A1.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A3.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"A2.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A4.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"A5.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"A6.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A7.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"A8.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"B11.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"C15.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"D18.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"E21.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"G3.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"B12.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"C16.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D19.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"E22.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"G4.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H6.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"I11.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"H5.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J13.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"K16.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"L20.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"I9.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"J12.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"K15.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L19.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M21.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"O3.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"P5.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"M22.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"F1.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G5.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"H7.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"I12.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"J14.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"K17.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"L21.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"N1.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O4.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"O5.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"P7.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P6.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"B13.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"C17.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D20.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"J15.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"K18.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"L22.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"N2.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"O6.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"P8.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"B15.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"C19.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"D22.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"B14.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"C18.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D21.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"F2.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G6.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"H8.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I13.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"F3.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P9.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"B16.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"C20.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"E1.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"F4.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"G8.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"G7.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H11.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"I15.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"J17.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"H10.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"I14.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"J16.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"K19.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"M1.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"N3.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"O7.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"K20.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"B17.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"C21.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"E2.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F5.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"G9.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"H12.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"I16.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"J18.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"K22.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"M2.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"M3.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"N6.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"O9.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"N5.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"O8.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"P10.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"P11.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"H13.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"I17.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"J19.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"L1.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"M4.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"N7.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"O10.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"P12.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"B19.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D1.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"B18.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C22.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"F6.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"G10.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E4.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"N8.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"O11.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"P13.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B20.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"D2.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"E5.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: differentiated keratinocyte"
"F7.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"F9.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G12.D041904.3_10_M.1.1","D041904","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"H16.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: basal cell of epidermis"
"G11.D041904.3_10_M.1.1","D041904","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
