"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"F8.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.47673317320337,-0.488026469395119
"C20.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-24.3776876450622,18.6557369936555
"E2.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.44497534369319,26.6164089553441
"F7.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.91798646184407,-3.79986858598951
"G11.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.80320584961778,1.19369463816832
"H20.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-9.61844612739201,31.6452148832106
"J3.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-11.2627892799444,-2.2250174666305
"K5.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.22013605154499,2.16031216972594
"G12.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-18.4641395165982,22.0451603548777
"A11.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.39952402156236,2.86387375964835
"B17.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-16.7213971221032,24.088425321658
"D1.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-20.0429974623785,23.7013322877061
"E4.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.90328616139957,-0.298418767937496
"F9.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-4.20173374443301,32.4816282176232
"G14.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-18.0408012073193,23.3222631797594
"H22.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-16.7232677854771,24.411473220314
"H21.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.89322142556784,27.4323073098367
"J5.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-12.9550285140373,16.6008596633115
"K7.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.90672689733984,26.5490562270908
"J4.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.82932265716278,9.70486488484053
"K6.D042044.3_9_M.1.1","D041912","monocyte","CL:0000576",NA,23.6519192062823,19.5469137941576
"L10.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.41226221943367,-1.72472632611932
"M14.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.32816560461681,-1.02218020422965
"N21.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,10.906247477535,23.5284132379226
"P5.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-12.1562237451328,13.2903216089998
"L11.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-6.00173977799046,6.95520021980738
"B18.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.83259946909576,32.4756167724948
"D2.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.00686113050948,26.4191663629527
