"","nGene","nReads","orig.ident"
"B12.MAA000903.3_11_M.1.1",3696,2451493,"Heart"
"B12.MAA000920.3_11_M.1.1",2947,1239390,"Heart"
"B12.MAA100037.3_11_M.1.1",5140,1454965,"Heart"
"B13.B000412.3_56_F.1.1",1985,1602300,"Heart"
"B13.B002010.3_39_F.1.1",2600,1420620,"Heart"
"B13.B002423.3_39_F.1.1",1700,860976,"Heart"
"B13.B002427.3_39_F.1.1",2074,716898,"Heart"
"B13.B002428.3_38_F.1.1",1862,553307,"Heart"
"B13.MAA000452.3_8_M.1.1",2146,900902,"Heart"
"B13.MAA000589.3_9_M.1.1",2050,418422,"Heart"
"B13.MAA000936.3_9_M.1.1",2768,307321,"Heart"
"B14.B000633.3_56_F.1.1",3534,1335688,"Heart"
"B14.B002010.3_39_F.1.1",3275,1789824,"Heart"
"B14.B002011.3_38_F.1.1",1738,860608,"Heart"
"B14.B002421.3_39_F.1.1",1537,520951,"Heart"
"B14.B002423.3_39_F.1.1",1665,639579,"Heart"
"B14.B002427.3_39_F.1.1",3389,1111856,"Heart"
"B14.B002428.3_38_F.1.1",1418,757273,"Heart"
"B14.B002429.3_38_F.1.1",896,319792,"Heart"
"B14.MAA000398.3_9_M.1.1",4555,443657,"Heart"
"B14.MAA000400.3_8_M.1.1",4507,983681,"Heart"
"B14.MAA000586.3_8_M.1.1",2743,1122462,"Heart"
"B14.MAA000589.3_9_M.1.1",1560,197460,"Heart"
"B14.MAA000901.3_10_M.1.1",3358,1053162,"Heart"
"B14.MAA000920.3_11_M.1.1",510,59626,"Heart"
"B14.MAA000936.3_9_M.1.1",3246,300407,"Heart"
"B15.B000412.3_56_F.1.1",2119,811352,"Heart"
"B15.B000634.3_56_F.1.1",2678,605471,"Heart"
"B15.B002010.3_39_F.1.1",2132,770083,"Heart"
"B15.B002011.3_38_F.1.1",2058,1252151,"Heart"
"B15.B002423.3_39_F.1.1",2234,382669,"Heart"
"B15.B002427.3_39_F.1.1",1903,572181,"Heart"
"B15.B002428.3_38_F.1.1",2290,1128740,"Heart"
"B15.B002429.3_38_F.1.1",1327,520708,"Heart"
"B15.MAA000398.3_9_M.1.1",4212,467480,"Heart"
"B15.MAA000452.3_8_M.1.1",2058,526246,"Heart"
"B15.MAA000586.3_8_M.1.1",2669,1420951,"Heart"
"B15.MAA000903.3_11_M.1.1",1554,788399,"Heart"
"B15.MAA000918.3_10_M.1.1",3059,365452,"Heart"
"B15.MAA000936.3_9_M.1.1",3410,285784,"Heart"
"B16.B000633.3_56_F.1.1",1054,74530,"Heart"
"B16.B000636.3_56_F.1.1",2800,1999362,"Heart"
"B16.B002010.3_39_F.1.1",2074,1036644,"Heart"
"B16.B002011.3_38_F.1.1",1747,1086935,"Heart"
"B16.B002421.3_39_F.1.1",1937,807867,"Heart"
"B16.B002423.3_39_F.1.1",3049,1123184,"Heart"
"B16.B002427.3_39_F.1.1",2547,737818,"Heart"
"B16.B002428.3_38_F.1.1",1749,988778,"Heart"
"B16.MAA000400.3_8_M.1.1",3612,647385,"Heart"
"B16.MAA000903.3_11_M.1.1",999,310011,"Heart"
