"","nGene","nReads","orig.ident"
"A22.MAA000848.3_10_M.1.1",4254,642889,"Marrow"
"A22.MAA001844.3_38_F.1.1",4670,1263357,"Marrow"
"A22.MAA001883.3_39_F.1.1",2263,272967,"Marrow"
"A22.MAA001884.3_38_F.1.1",1856,707568,"Marrow"
"A22.MAA001887.3_39_F.1.1",3873,441597,"Marrow"
"A3.D041912.3_8_M.1.1",3818,1053033,"Marrow"
"A3.D042044.3_9_M.1.1",1948,399079,"Marrow"
"A3.D042479.3_8_M.1.1",1685,229648,"Marrow"
"A3.D045139.3_39_F.1.1",1884,937148,"Marrow"
"A3.D045140.3_38_F.1.1",1326,1683081,"Marrow"
"A3.MAA000409.3_10_M.1.1",3965,961915,"Marrow"
"A3.MAA000600.3_8_M.1.1",4261,3064898,"Marrow"
"A3.MAA000639.3_9_M.1.1",3857,684660,"Marrow"
"A3.MAA000652.3_10_M.1.1",1580,208735,"Marrow"
"A3.MAA000844.3_10_M.1.1",2074,472420,"Marrow"
"A3.MAA000848.3_10_M.1.1",3756,538918,"Marrow"
"A3.MAA001842.3_38_F.1.1",2147,971396,"Marrow"
"A3.MAA001844.3_38_F.1.1",2729,325550,"Marrow"
"A3.MAA001883.3_39_F.1.1",1879,101790,"Marrow"
"A3.MAA001884.3_38_F.1.1",1928,944677,"Marrow"
"A3.MAA001887.3_39_F.1.1",5709,764157,"Marrow"
"A4.D041912.3_8_M.1.1",3661,895868,"Marrow"
"A4.D042193.3_8_M.1.1",2319,638394,"Marrow"
"A4.D042479.3_8_M.1.1",3378,562619,"Marrow"
"A4.MAA000409.3_10_M.1.1",2520,849710,"Marrow"
"A4.MAA000600.3_8_M.1.1",4737,3149386,"Marrow"
"A4.MAA000639.3_9_M.1.1",3841,774315,"Marrow"
"A4.MAA000652.3_10_M.1.1",1493,185318,"Marrow"
"A4.MAA000844.3_10_M.1.1",2222,560009,"Marrow"
"A4.MAA000848.3_10_M.1.1",4939,811572,"Marrow"
"A4.MAA001844.3_38_F.1.1",2510,705118,"Marrow"
"A4.MAA001884.3_38_F.1.1",2516,729458,"Marrow"
"A5.D041912.3_8_M.1.1",5067,768680,"Marrow"
"A5.D042044.3_9_M.1.1",1632,318892,"Marrow"
"A5.D042193.3_8_M.1.1",2961,1307920,"Marrow"
"A5.D042479.3_8_M.1.1",1677,241677,"Marrow"
"A5.MAA000409.3_10_M.1.1",3895,855096,"Marrow"
"A5.MAA000600.3_8_M.1.1",5330,3066472,"Marrow"
"A5.MAA000652.3_10_M.1.1",1980,192608,"Marrow"
"A5.MAA000844.3_10_M.1.1",1763,381602,"Marrow"
"A5.MAA000848.3_10_M.1.1",4112,676953,"Marrow"
"A5.MAA001844.3_38_F.1.1",3044,862345,"Marrow"
"A5.MAA001883.3_39_F.1.1",2214,224829,"Marrow"
"A5.MAA001884.3_38_F.1.1",2062,1148901,"Marrow"
"A5.MAA001887.3_39_F.1.1",5236,989230,"Marrow"
"A6.D041912.3_8_M.1.1",2218,626043,"Marrow"
"A6.D042044.3_9_M.1.1",2224,518983,"Marrow"
"A6.D042193.3_8_M.1.1",4829,1410971,"Marrow"
"A6.D042479.3_8_M.1.1",2608,196836,"Marrow"
"A6.MAA000409.3_10_M.1.1",2645,574736,"Marrow"
"A6.MAA000600.3_8_M.1.1",4156,2671874,"Marrow"
"A6.MAA000639.3_9_M.1.1",1950,230102,"Marrow"
"A6.MAA000652.3_10_M.1.1",2066,277195,"Marrow"
"A6.MAA000844.3_10_M.1.1",1730,464444,"Marrow"
"A6.MAA000848.3_10_M.1.1",3824,815125,"Marrow"
"A6.MAA001883.3_39_F.1.1",4566,621414,"Marrow"
"A6.MAA001884.3_38_F.1.1",1353,680007,"Marrow"
"A6.MAA001887.3_39_F.1.1",5255,806082,"Marrow"
"A7.D041912.3_8_M.1.1",3351,476325,"Marrow"
"A7.D042044.3_9_M.1.1",1810,477334,"Marrow"
"A7.D042193.3_8_M.1.1",2345,466442,"Marrow"
"A7.D042479.3_8_M.1.1",2587,290113,"Marrow"
"A7.D045139.3_39_F.1.1",1623,373059,"Marrow"
"A7.MAA000409.3_10_M.1.1",3576,1062012,"Marrow"
"A7.MAA000600.3_8_M.1.1",4152,1494392,"Marrow"
"A7.MAA000652.3_10_M.1.1",1577,147862,"Marrow"
"A7.MAA000844.3_10_M.1.1",1743,467417,"Marrow"
