p_val,avg_logFC,pct.1,pct.2,cluster,gene,,celltyppe
2.88E-14,0.679554196,0.155,0.084,3,Rasgrp4,,
1.44E-14,0.676440561,0.246,0.165,3,Ube2b,,
7.41E-21,0.674902991,0.265,0.159,3,Dhrs7,,
9.43E-38,0.673733959,0.428,0.261,3,Ly6g,,
2.95E-16,0.672573168,0.165,0.088,3,Nfam1,,
5.94E-17,0.671490054,0.218,0.128,3,Pirb,,
1.95E-27,0.669633111,0.452,0.336,3,Pgd,,
8.90E-11,0.665608472,0.229,0.163,3,Hcls1,,
1.95E-13,0.663287798,0.226,0.15,3,Atg3,,
3.65E-11,0.658356599,0.152,0.09,3,Il17ra,,
3.82E-16,0.65648849,0.225,0.137,3,Slfn2,,
1.09E-63,0.646541128,0.728,0.589,3,Hp,,
6.58E-17,0.641306811,0.315,0.222,3,Vsir,,
2.68E-50,0.640646593,0.649,0.482,3,Pglyrp1,,
3.09E-30,0.635665058,0.413,0.268,3,Chil1,,
3.71E-11,0.634234851,0.22,0.152,3,Msra,,
5.79E-09,0.633902076,0.176,0.119,3,Cd44,,
1.36E-17,0.629844974,0.325,0.23,3,Itgb2,,
4.17E-19,0.620969467,0.37,0.271,3,Csf2ra,,
7.19E-23,0.618193589,0.459,0.365,3,Arpc5,,
5.67E-09,0.606573666,0.219,0.161,3,Fam32a,,
3.04E-06,0.605671833,0.154,0.111,3,Lmnb1,,
1.68E-40,0.605020982,0.621,0.504,3,Alox5ap,,
9.25E-09,0.603035747,0.157,0.103,3,Iqgap1,,
2.62E-10,0.597530606,0.155,0.095,3,Nadk,,
9.88E-10,0.584908543,0.166,0.106,3,Pnrc1,,
2.69E-12,0.584012634,0.246,0.169,3,Cfp,,
9.56E-24,0.576117056,0.517,0.442,3,Actg1,,
3.05E-08,0.574654138,0.376,0.34,3,Ftl1,,
7.94E-38,0.573846794,0.637,0.531,3,Rac2,,
9.22E-14,0.572675846,0.338,0.259,3,Ier2,,
1.30E-06,0.567277525,0.195,0.148,3,Prkcd,,
1.32E-68,0.563861832,0.816,0.702,3,Fcer1g,,
4.06E-21,0.562223688,0.493,0.413,3,Gabarap,,
8.91E-10,0.560879309,0.228,0.165,3,Glipr1,,
2.32E-12,0.560218056,0.301,0.224,3,Ppp1r18,,
4.79E-11,0.555521841,0.32,0.252,3,Cd53,,
1.13E-07,0.554522487,0.195,0.143,3,Glrx,,
1.80E-05,0.552424393,0.187,0.148,3,Lasp1,,
3.68E-15,0.546723152,0.376,0.295,3,Ostf1,,
9.63E-41,0.537577663,0.605,0.437,3,Lgals3,,
1.02E-06,0.536136465,0.224,0.176,3,Cebpd,,
2.58E-10,0.531820516,0.3,0.231,3,Lst1,,
7.21E-39,0.530291775,0.699,0.615,3,Coro1a,,
6.33E-30,0.526683208,0.442,0.276,3,Srgn,,
1.46E-08,0.525691787,0.285,0.229,3,Mettl9,,
7.12E-08,0.524853775,0.191,0.137,3,Hcst,,
1.88E-10,0.522173694,0.253,0.184,3,Cd9,,
0.000263326,0.517510428,0.216,0.186,3,Arhgap45,,
2.35E-16,0.515722229,0.522,0.481,3,Txn1,,
1.61E-09,0.515089137,0.392,0.35,3,Limd2,,
2.42E-12,0.51490021,0.358,0.286,3,Ncf1,,
9.71E-08,0.506216466,0.225,0.169,3,Pnkp,,
1.98E-06,0.502415857,0.206,0.16,3,Atp6v1g1,,
2.57E-06,0.498883931,0.196,0.15,3,Myo1f,,
1.57E-07,0.494321504,0.235,0.18,3,Cdkn2d,,
2.18E-06,0.491724186,0.234,0.188,3,Emb,,
3.77E-24,0.488194365,0.412,0.263,3,Ifitm6,,
0.000929754,0.484503685,0.162,0.133,3,Sdcbp,,
5.86E-05,0.483075529,0.278,0.249,3,Rhog,,
6.30E-27,0.482691641,0.645,0.589,3,Pkm,,
5.19E-12,0.481487658,0.424,0.363,3,Cnn2,,
2.19E-08,0.479725326,0.397,0.37,3,Ubc,,
2.16E-06,0.477045188,0.263,0.218,3,Degs1,,
1.73E-07,0.462017025,0.352,0.314,3,Myl12b,,
3.90E-05,0.459406758,0.264,0.231,3,Mrpl33,,
5.50E-07,0.455628634,0.332,0.29,3,Arrb2,,
0.002197037,0.451293808,0.167,0.141,3,Skap2,,
3.21E-17,0.449966159,0.56,0.51,3,Cotl1,,
0.006769158,0.449223083,0.205,0.184,3,Atxn10,,
