"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hn12",1.65642125634618e-25,0.496953161400328,0.594,0.432,3.86625285443762e-21,"3","Hn1"
"Cnbp",2.56202693081479e-25,0.350201780508743,0.87,0.821,5.98002705921479e-21,"3","Cnbp"
"Ctsh2",1.17259706047728e-24,0.436260763653297,0.458,0.27,2.73695879886003e-20,"3","Ctsh"
"Tuba4a",1.96712712517407e-24,0.418800570800721,0.321,0.147,4.59147142286881e-20,"3","Tuba4a"
"Ncl",5.1441244525083e-24,0.515654234236906,0.707,0.635,1.20069008845996e-19,"3","Ncl"
"Pkig1",7.19941514775966e-24,0.512857965854642,0.46,0.292,1.68041548963858e-19,"3","Pkig"
"Exosc6",1.20889719423876e-23,0.421585211855969,0.254,0.107,2.8216869410727e-19,"3","Exosc6"
"Pxk",2.52927626630763e-23,0.480654582068082,0.291,0.138,5.90358373318864e-19,"3","Pxk"
"Yeats4",3.04870363657457e-23,0.492963801945623,0.299,0.147,7.11597915812869e-19,"3","Yeats4"
"Cdc42se1",3.41940681831195e-23,0.558294506733267,0.388,0.232,7.98123745462191e-19,"3","Cdc42se1"
"Grb2",4.75463321848781e-23,0.489446715726924,0.39,0.227,1.10977893952724e-18,"3","Grb2"
"Egln2",5.70944495852977e-23,0.491143759949139,0.328,0.169,1.33264154777043e-18,"3","Egln2"
"Mrpl43",9.4807702689621e-23,0.459225840536724,0.291,0.139,2.21290658847844e-18,"3","Mrpl43"
"Cnot6l",2.0209946116275e-22,0.464995555055876,0.273,0.123,4.71720352299976e-18,"3","Cnot6l"
"Snx2",2.08774941201411e-22,0.51981240065073,0.39,0.231,4.87301590258213e-18,"3","Snx2"
"Arpc32",3.72805112414632e-22,0.360827374325656,0.798,0.728,8.70164412886994e-18,"3","Arpc3"
"H2afj2",4.94329421317167e-22,0.501888443767412,0.501,0.358,1.1538143022964e-17,"3","H2afj"
"Isy11",6.04198889203581e-22,0.451824126757408,0.269,0.125,1.41026062729008e-17,"3","Isy1"
"Rasgrp21",7.24059768505674e-22,0.386638520824515,0.291,0.127,1.69002790566909e-17,"3","Rasgrp2"
"D8Ertd738e1",7.2710655110661e-22,0.411263638704382,0.701,0.616,1.69713940093794e-17,"3","D8Ertd738e"
"Cox7a2l3",3.09858833869801e-21,0.339561573699847,0.831,0.716,7.23241504135502e-17,"3","Cox7a2l"
"Lsm5",3.99449363088673e-21,0.488809425105482,0.425,0.281,9.32354758385271e-17,"3","Lsm5"
"Lsp12",5.10383498514454e-21,0.379358763657349,0.557,0.385,1.19128612388259e-16,"3","Lsp1"
"Snrpf2",1.02282024019452e-20,0.403718515983639,0.67,0.583,2.38736472263802e-16,"3","Snrpf"
"Cnn21",3.04929132398162e-19,0.410494585322632,0.412,0.249,7.1173508793055e-15,"3","Cnn2"
"Llph1",4.06888429426563e-19,0.555084442848526,0.432,0.301,9.49718283124541e-15,"3","Llph"
"Pabpc13",5.08287504912981e-19,0.328859806759987,0.829,0.752,1.18639386521739e-14,"3","Pabpc1"
"Trim25",6.49013090752105e-19,0.384776530372124,0.317,0.163,1.51486145512449e-14,"3","Trim25"
"Rpl34-ps12",1.64167864445038e-18,0.479433442360202,0.432,0.302,3.83184212401163e-14,"3","Rpl34-ps1"
"Plekhj12",2.28633426669104e-18,0.458765913054681,0.338,0.204,5.33653281188355e-14,"3","Plekhj1"
"Atp5e2",2.64788420424423e-18,0.278843981806109,0.872,0.811,6.18042652112647e-14,"3","Atp5e"
"Dbnl1",1.2630700964012e-17,0.447744337829841,0.299,0.165,2.94813191201005e-13,"3","Dbnl"
"Brp44l2",1.61361241049954e-17,0.492408766856321,0.523,0.427,3.76633272734697e-13,"3","Brp44l"
"Arpc51",3.8419607650711e-17,0.370004657089272,0.662,0.57,8.96752062175244e-13,"3","Arpc5"
"Gpsm32",5.53018481479392e-17,0.485955694731242,0.312,0.182,1.29080043762105e-12,"3","Gpsm3"
