overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,Manea,,,Tmem9,,,,,,Chuk,,,Trim16,,,
,,Maoa,,,Tmod3,,,,,,Ciapin1,,,Trim25,,,
,,Maob,,,Tmx4,,,,,,Cib2,,,Trp63,,,
,,Map3k10,,,Tnfaip3,,,,,,Cirbp,,,Trpv4,,,
,,Map3k12,,,Tnfrsf1a,,,,,,Cirh1a,,,Tsku,,,
,,Map3k2,,,Tnfsf9,,,,,,Ciz1,,,Tspan12,,,
,,Map3k3,,,Tns1,,,,,,Cks2,,,Ttc38,,,
,,Map3k6,,,Tob2,,,,,,Clasrp,,,Ttc9,,,
,,Mapk3,,,Topors,,,,,,Clca2,,,Tuba4a,,,
,,Mapk6,,,Tor1aip1,,,,,,Clca5,,,Tubb4b,,,
,,Mapk8ip1,,,Tor1b,,,,,,Clcf1,,,Ube2h,,,
,,Mapk9,,,Tpcn1,,,,,,Cldn25,,,Ube2z,,,
,,Mapkbp1,,,Tpm2,,,,,,Cldn8,,,Ubl5,,,
,,Marveld1,,,Tpm3,,,,,,Clip1,,,Ucp2,,,
,,Mast2,,,Tprgl,,,,,,Clk2,,,Ugcg,,,
,,Maz,,,Trappc2l,,,,,,Clk3,,,Uhrf1bp1l,,,
,,Mbd1,,,Trex1,,,,,,Clmn,,,Unc45a,,,
,,Mbtps1,,,Trib1,,,,,,Cln6,,,Unc5a,,,
,,Mc5r,,,Triobp,,,,,,Cln8,,,Uqcrq,,,
,,Mcc,,,Trip10,,,,,,Clns1a,,,Use1,,,
,,Mcl1,,,Trp53i13,,,,,,Clpb,,,Usp47,,,
,,Mdfic,,,Trps1,,,,,,Clptm1,,,Vmp1,,,
,,Med13l,,,Tsc22d3,,,,,,Clptm1l,,,Vps37b,,,
,,Mef2a,,,Tsen34,,,,,,Clpx,,,Vps4b,,,
,,Megf8,,,Tshz3,,,,,,Clta,,,Vti1b,,,
,,Meis1,,,Tspan3,,,,,,Clybl,,,Wasl,,,
,,Meis3,,,Tspan31,,,,,,Cmas,,,Wdr1,,,
,,Mepce,,,Tspan5,,,,,,Cmpk1,,,Wdr61,,,
,,Mettl1,,,Tspo,,,,,,Cnbp,,,Wdr89,,,
,,Mettl21a,,,Ttc28,,,,,,Cndp2,,,Wee1,,,
,,Mfap3,,,Tubb5,,,,,,Cnih4,,,Wipf2,,,
,,Mfsd11,,,Txndc12,,,,,,Cnksr1,,,Wnt7b,,,
,,Mga,,,Txndc15,,,,,,Cnnm4,,,Xk,,,
,,Mia3,,,Txnip,,,,,,Cno,,,Yrdc,,,
,,Mid1,,,Uap1,,,,,,Cnot10,,,Ywhag,,,
,,Mill2,,,Ubb,,,,,,Cnot2,,,Ywhaz,,,
,,Mir1938,,,Ube2j1,,,,,,Cnot6,,,Zdhhc5,,,
,,Mir24-2,,,Ube2l6,,,,,,Cnot7,,,Zfand2a,,,
,,Mir568,,,Ube2s,,,,,,Cntd1,,,Zfp706,,,
,,Mmd,,,Ufc1,,,,,,Cntnap2,,,Zfp750,,,
,,Mn1,,,Usp2,,,,,,Cobll1,,,,,,
,,Mpdz,,,Vasn,,,,,,Cobra1,,,,,,
,,Mpg,,,Vwa1,,,,,,Cog2,,,,,,
,,Mprip,,,Vwa5a,,,,,,Cog4,,,,,,
,,Mr1,,,Wbp5,,,,,,Cog6,,,,,,
,,Mrgprf,,,Wipi1,,,,,,Cog8,,,,,,
,,Mrpl27,,,Wnt4,,,,,,Col17a1,,,,,,
,,Mrpl33,,,Wnt5b,,,,,,Copg2,,,,,,
,,Mrpl34,,,Wsb1,,,,,,Cops3,,,,,,
,,Mrpl49,,,Xbp1,,,,,,Cops6,,,,,,
,,Msrb2,,,Yipf3,,,,,,Cops7a,,,,,,
,,Msrb3,,,Ypel3,,,,,,Coq2,,,,,,
,,Mtap1a,,,Ywhaq,,,,,,Coq3,,,,,,
,,Mtap4,,,Zbtb16,,,,,,Coq4,,,,,,
,,Mtap6,,,Zbtb20,,,,,,Coq5,,,,,,
,,Mtmr11,,,Zcchc24,,,,,,Coq6,,,,,,
,,Myh11,,,Zeb1,,,,,,Coq9,,,,,,
,,Myo1c,,,Zeb2,,,,,,Coro1c,,,,,,
,,Myo5a,,,Zfhx3,,,,,,Coro2a,,,,,,
,,Myo6,,,Zfp131,,,,,,Cox18,,,,,,
,,Myo9a,,,Zfp36,,,,,,Cox5b,,,,,,
,,Naf1,,,Zfp36l1,,,,,,Cox6c,,,,,,
,,Naga,,,Zfp36l2,,,,,,Cox7a2,,,,,,
,,Nagpa,,,Zfp651,,,,,,Cpeb4,,,,,,
,,Nbas,,,Zfp945,,,,,,Cpne1,,,,,,
,,Ncam1,,,Zfyve21,,,,,,Cpsf2,,,,,,
,,Ncln,,,,,,,,,Cpsf3,,,,,,
,,Ncoa1,,,,,,,,,Cpt2,,,,,,
,,Ncoa7,,,,,,,,,Crbn,,,,,,
,,Ncor2,,,,,,,,,Crebzf,,,,,,
,,Ncrna00085,,,,,,,,,Creg1,,,,,,
,,Ndrg3,,,,,,,,,Crim1,,,,,,
,,Ndrg4,,,,,,,,,Cript,,,,,,
,,Ndst1,,,,,,,,,Crk,,,,,,
,,Necab1,,,,,,,,,Crls1,,,,,,
,,Nedd9,,,,,,,,,Crnkl1,,,,,,
,,Nek9,,,,,,,,,Crot,,,,,,
,,Nelf,,,,,,,,,Cry1,,,,,,
,,Nexn,,,,,,,,,Crybg3,,,,,,
,,Nf1,,,,,,,,,Cryl1,,,,,,
,,Nfat5,,,,,,,,,Cs,,,,,,
,,Nfatc1,,,,,,,,,Csde1,,,,,,
,,Nfatc4,,,,,,,,,Csf2ra,,,,,,
,,Nfkb1,,,,,,,,,Csnk1a1,,,,,,
,,Nfyb,,,,,,,,,Csnk1e,,,,,,
,,Ngf,,,,,,,,,Csnk1g3,,,,,,
,,Nhsl2,,,,,,,,,Csnk2a1,,,,,,
,,Nin,,,,,,,,,Csnk2a2,,,,,,
,,Nipa1,,,,,,,,,Csnk2b,,,,,,
,,Nisch,,,,,,,,,Cspp1,,,,,,
,,Nlgn2,,,,,,,,,Cstf1,,,,,,
,,Nnmt,,,,,,,,,Cstf2,,,,,,
,,Nnt,,,,,,,,,Ctage5,,,,,,
,,Nod1,,,,,,,,,Ctbp2,,,,,,
,,Nol3,,,,,,,,,Ctf1,,,,,,
,,Nphp1,,,,,,,,,Ctnnbip1,,,,,,
,,Npr2,,,,,,,,,Ctnnbl1,,,,,,
,,Nqo2,,,,,,,,,Ctnnd2,,,,,,
,,Nr1h3,,,,,,,,,Ctr9,,,,,,
,,Nradd,,,,,,,,,Ctsc,,,,,,
,,Nrg2,,,,,,,,,Cttn,,,,,,
,,Nrp1,,,,,,,,,Ctu2,,,,,,
,,Nrp2,,,,,,,,,Cul1,,,,,,
,,Nsg1,,,,,,,,,Cul2,,,,,,
,,Nt5c3l,,,,,,,,,Cux1,,,,,,
,,Nt5m,,,,,,,,,Cwc15,,,,,,
,,Nudcd1,,,,,,,,,Cwc22,,,,,,
,,Nufip2,,,,,,,,,Cyb5r4,,,,,,
,,Nup210l,,,,,,,,,Cyc1,,,,,,
,,Nutf2,,,,,,,,,Cycs,,,,,,
,,Oasl2,,,,,,,,,Cyp2s1,,,,,,
,,Obsl1,,,,,,,,,Cyp39a1,,,,,,
,,Olfr1033,,,,,,,,,Cyp4f13,,,,,,
,,Orai3,,,,,,,,,Cyp51,,,,,,
,,Ormdl3,,,,,,,,,Cyth1,,,,,,
,,Osbpl1a,,,,,,,,,Cyth2,,,,,,
,,Osmr,,,,,,,,,D10Wsu52e,,,,,,
,,Oxnad1,,,,,,,,,D11Wsu99e,,,,,,
,,Oxr1,,,,,,,,,D17H6S53E,,,,,,
,,P4ha2,,,,,,,,,D17H6S56E-3,,,,,,
,,P4htm,,,,,,,,,D19Bwg1357e,,,,,,
,,Pacs2,,,,,,,,,D19Ertd737e,,,,,,
,,Paqr6,,,,,,,,,D1Bwg0212e,,,,,,
,,Parp12,,,,,,,,,D1Ertd622e,,,,,,
,,Parp14,,,,,,,,,D230025D16Rik,,,,,,
,,Parp8,,,,,,,,,D230037D09Rik,,,,,,
,,Parp9,,,,,,,,,D2Wsu81e,,,,,,
,,Pbxip1,,,,,,,,,D4Ertd22e,,,,,,
,,Pcdhgc3,,,,,,,,,D730040F13Rik,,,,,,
,,Pcna,,,,,,,,,D8Ertd738e,,,,,,
,,Pcnx,,,,,,,,,D8Ertd82e,,,,,,
,,Pcsk5,,,,,,,,,D930014E17Rik,,,,,,
,,Pddc1,,,,,,,,,Daam1,,,,,,
,,Pde1a,,,,,,,,,Dalrd3,,,,,,
,,Pde3a,,,,,,,,,Dapp1,,,,,,
,,Pde3b,,,,,,,,,Dars,,,,,,
,,Pde4a,,,,,,,,,Dbndd2,,,,,,
,,Pde7b,,,,,,,,,Dbr1,,,,,,
,,Pde8a,,,,,,,,,Dcaf10,,,,,,
,,Pde9a,,,,,,,,,Dcaf11,,,,,,
,,Pdia5,,,,,,,,,Dcaf12,,,,,,
,,Pdlim3,,,,,,,,,Dcaf12l1,,,,,,
,,Pdrg1,,,,,,,,,Dcaf13,,,,,,
,,Pds5b,,,,,,,,,Dcaf17,,,,,,
,,Pear1,,,,,,,,,Dcaf7,,,,,,
,,Peg13,,,,,,,,,Dctn3,,,,,,
,,Pex11b,,,,,,,,,Dctn4,,,,,,
,,Pex5l,,,,,,,,,Dctpp1,,,,,,
,,Pfkp,,,,,,,,,Dcun1d1,,,,,,
,,Pgf,,,,,,,,,Dcun1d5,,,,,,
,,Phactr2,,,,,,,,,Dda1,,,,,,
,,Phc3,,,,,,,,,Ddi2,,,,,,
,,Phf20,,,,,,,,,Ddit4,,,,,,
,,Phf21a,,,,,,,,,Ddr1,,,,,,
,,Phtf1,,,,,,,,,Ddrgk1,,,,,,
,,Phyhd1,,,,,,,,,Ddx10,,,,,,
,,Pigs,,,,,,,,,Ddx18,,,,,,
,,Pik3ca,,,,,,,,,Ddx19b,,,,,,
,,Pik3ip1,,,,,,,,,Ddx21,,,,,,
,,Pik3r1,,,,,,,,,Ddx24,,,,,,
,,Pip4k2a,,,,,,,,,Ddx27,,,,,,
,,Pitrm1,,,,,,,,,Ddx39,,,,,,
,,Pkdcc,,,,,,,,,Ddx41,,,,,,
,,Pknox1,,,,,,,,,Ddx42,,,,,,
,,Pknox2,,,,,,,,,Ddx46,,,,,,
,,Pla2g15,,,,,,,,,Ddx52,,,,,,
,,Plcg1,,,,,,,,,Ddx54,,,,,,
,,Plcl1,,,,,,,,,Ddx56,,,,,,
,,Plekha6,,,,,,,,,Decr1,,,,,,
,,Plekhf1,,,,,,,,,Decr2,,,,,,
,,Plekhg2,,,,,,,,,Dedd,,,,,,
,,Plk1s1,,,,,,,,,Dedd2,,,,,,
,,Plod2,,,,,,,,,Def6,,,,,,
,,Plod3,,,,,,,,,Dennd2d,,,,,,
,,Plscr1,,,,,,,,,Dennd4c,,,,,,
,,Plxna2,,,,,,,,,Denr,,,,,,
,,Pofut1,,,,,,,,,Deptor,,,,,,
,,Polg2,,,,,,,,,Dera,,,,,,
,,Ppil3,,,,,,,,,Dffa,,,,,,
,,Ppm1k,,,,,,,,,Dgcr14,,,,,,
,,Ppm1m,,,,,,,,,Dgka,,,,,,
,,Ppp1r12c,,,,,,,,,Dgkh,,,,,,
,,Ppp1r9b,,,,,,,,,Dhps,,,,,,
,,Ppp2r5b,,,,,,,,,Dhrs4,,,,,,
,,Ppp3cb,,,,,,,,,Dhx15,,,,,,
,,Ppp3cc,,,,,,,,,Dhx30,,,,,,
,,Pppde1,,,,,,,,,Dhx32,,,,,,
,,Ppt1,,,,,,,,,Diablo,,,,,,
,,Pqlc3,,,,,,,,,Dicer1,,,,,,
,,Prdm2,,,,,,,,,Dip2b,,,,,,
,,Prickle1,,,,,,,,,Dip2c,,,,,,
,,Prickle2,,,,,,,,,Dis3l2,,,,,,
,,Prkar1b,,,,,,,,,Dld,,,,,,
,,Prkcc,,,,,,,,,Dleu2,,,,,,
,,Prkcsh,,,,,,,,,Dll1,,,,,,
,,Prkd2,,,,,,,,,Dlst,,,,,,
,,Prkd3,,,,,,,,,Dnaja2,,,,,,
,,Proca1,,,,,,,,,Dnaja3,,,,,,
,,Prr24,,,,,,,,,Dnajb12,,,,,,
,,Prr5,,,,,,,,,Dnajb2,,,,,,
,,Prrc1,,,,,,,,,Dnajb4,,,,,,
,,Prrg3,,,,,,,,,Dnajb6,,,,,,
,,Psd,,,,,,,,,Dnajc11,,,,,,
,,Psen2,,,,,,,,,Dnajc12,,,,,,
,,Psip1,,,,,,,,,Dnajc14,,,,,,
,,Psmb10,,,,,,,,,Dnajc15,,,,,,
,,Psmb8,,,,,,,,,Dnajc17,,,,,,
,,Psmb9,,,,,,,,,Dnajc2,,,,,,
,,Ptar1,,,,,,,,,Dnajc21,,,,,,
,,Ptdss2,,,,,,,,,Dnajc4,,,,,,
,,Pten,,,,,,,,,Dnajc7,,,,,,
,,Pter,,,,,,,,,Dnajc8,,,,,,
,,Ptn,,,,,,,,,Dnase1l2,,,,,,
,,Ptpla,,,,,,,,,Dnmbp,,,,,,
,,Ptpn11,,,,,,,,,Dock5,,,,,,
,,Ptpn12,,,,,,,,,Dohh,,,,,,
,,Ptpn21,,,,,,,,,Dolk,,,,,,
,,Ptprb,,,,,,,,,Dos,,,,,,
,,Ptprg,,,,,,,,,Dpcd,,,,,,
,,Ptprs,,,,,,,,,Dpf2,,,,,,
,,Pvr,,,,,,,,,Dph5,,,,,,
,,Pvrl3,,,,,,,,,Dpp8,,,,,,
,,Pxdn,,,,,,,,,Dpy30,,,,,,
,,Pxk,,,,,,,,,Dram2,,,,,,
,,Pycr1,,,,,,,,,Dsc2,,,,,,
,,Pygl,,,,,,,,,Dst,,,,,,
,,Qk,,,,,,,,,Dstn,,,,,,
,,Rab11fip2,,,,,,,,,Dtd1,,,,,,
,,Rab12,,,,,,,,,Dtnb,,,,,,
,,Rab13,,,,,,,,,Dtx2,,,,,,
,,Rab2b,,,,,,,,,Duox1,,,,,,
,,Rab30,,,,,,,,,Dus1l,,,,,,
,,Rab31,,,,,,,,,Dusp5,,,,,,
,,Rab3a,,,,,,,,,Dusp7,,,,,,
,,Rab3il1,,,,,,,,,Dynlt1f,,,,,,
,,Rab43,,,,,,,,,Dyrk2,,,,,,
,,Rab8b,,,,,,,,,Dzip1l,,,,,,
,,Rabgap1l,,,,,,,,,E030024N20Rik,,,,,,
,,Rad52,,,,,,,,,E030030I06Rik,,,,,,
,,Rai2,,,,,,,,,E130308A19Rik,,,,,,
,,Ralgps2,,,,,,,,,E130309D02Rik,,,,,,
,,Rap2a,,,,,,,,,E2f4,,,,,,
,,Rapgef2,,,,,,,,,E4f1,,,,,,
,,Rara,,,,,,,,,Eaf1,,,,,,
,,Rasd1,,,,,,,,,Eapp,,,,,,
,,Raver2,,,,,,,,,Ebna1bp2,,,,,,
,,Rbbp6,,,,,,,,,Ecd,,,,,,
,,Rbbp9,,,,,,,,,Ech1,,,,,,
,,Rbl2,,,,,,,,,Echdc1,,,,,,
,,Rbms2,,,,,,,,,Echs1,,,,,,
,,Rbpj,,,,,,,,,Edc3,,,,,,
,,Rcbtb2,,,,,,,,,Eed,,,,,,
,,Reck,,,,,,,,,Eef1d,,,,,,
,,Renbp,,,,,,,,,Eef1e1,,,,,,
,,Rere,,,,,,,,,Eefsec,,,,,,
,,Rev1,,,,,,,,,Eepd1,,,,,,
,,Rgs3,,,,,,,,,Efha1,,,,,,
,,Rhbdf1,,,,,,,,,Efna1,,,,,,
,,Rhou,,,,,,,,,Efs,,,,,,
,,Rilpl1,,,,,,,,,Eftud2,,,,,,
,,Rilpl2,,,,,,,,,Ehd4,,,,,,
,,Ripk2,,,,,,,,,Ehhadh,,,,,,
,,Rnasel,,,,,,,,,Eif1ad,,,,,,
,,Rnd3,,,,,,,,,Eif1ax,,,,,,
,,Rnf122,,,,,,,,,Eif2b1,,,,,,
,,Rnf130,,,,,,,,,Eif2b2,,,,,,
,,Rnf19a,,,,,,,,,Eif2b3,,,,,,
,,Rnf214,,,,,,,,,Eif2b4,,,,,,
,,Rnf215,,,,,,,,,Eif2b5,,,,,,
,,Rnf26,,,,,,,,,Eif2c2,,,,,,
,,Robo1,,,,,,,,,Eif2d,,,,,,
,,Robo2,,,,,,,,,Eif2s1,,,,,,
,,Ror1,,,,,,,,,Eif2s3y,,,,,,
,,Rora,,,,,,,,,Eif3a,,,,,,
,,Rpa2,,,,,,,,,Eif3b,,,,,,
,,Rrad,,,,,,,,,Eif3c,,,,,,
,,Rsph9,,,,,,,,,Eif3d,,,,,,
,,Rtp4,,,,,,,,,Eif3e,,,,,,
,,Runx1t1,,,,,,,,,Eif3g,,,,,,
,,Runx2,,,,,,,,,Eif3h,,,,,,
,,Rusc2,,,,,,,,,Eif3i,,,,,,
,,Rwdd1,,,,,,,,,Eif3k,,,,,,
,,Sacm1l,,,,,,,,,Eif3l,,,,,,
,,Samd4,,,,,,,,,Eif3m,,,,,,
,,Samd5,,,,,,,,,Eif4a1,,,,,,
,,Sash1,,,,,,,,,Eif4a2,,,,,,
,,Sbf2,,,,,,,,,Eif4a3,,,,,,
,,Scara3,,,,,,,,,Eif4e,,,,,,
,,Scd2,,,,,,,,,Eif4e2,,,,,,
,,Scfd1,,,,,,,,,Eif4ebp2,,,,,,
,,Scrn1,,,,,,,,,Eif4ebp3,,,,,,
,,Scube1,,,,,,,,,Eif4h,,,,,,
,,Sdf2,,,,,,,,,Eif5b,,,,,,
,,Sdk1,,,,,,,,,Eif6,,,,,,
,,Sec14l1,,,,,,,,,Elac2,,,,,,
,,Sec61a1,,,,,,,,,Elavl1,,,,,,
,,Senp7,,,,,,,,,Elf1,,,,,,
,,Sepn1,,,,,,,,,Ell,,,,,,
,,Sept11,,,,,,,,,Ell2,,,,,,
,,Serinc1,,,,,,,,,Elmo3,,,,,,
,,Serpinb9,,,,,,,,,Elof1,,,,,,
,,Serpine2,,,,,,,,,Elovl1,,,,,,
,,Sesn1,,,,,,,,,Elovl4,,,,,,
,,Sestd1,,,,,,,,,Elovl6,,,,,,
,,Sfpq,,,,,,,,,Elovl7,,,,,,
,,Sgcb,,,,,,,,,Elp2,,,,,,
,,Sgms2,,,,,,,,,Emd,,,,,,
,,Sgpp1,,,,,,,,,Eml2,,,,,,
,,Sh3d19,,,,,,,,,Eml4,,,,,,
,,Sh3pxd2b,,,,,,,,,Enah,,,,,,
,,Shisa4,,,,,,,,,Endog,,,,,,
,,Siae,,,,,,,,,Eno1,,,,,,
,,Sirpa,,,,,,,,,Enpp1,,,,,,
,,Sirt1,,,,,,,,,Entpd7,,,,,,
,,Slain2,,,,,,,,,Epb4.1,,,,,,
,,Slc10a6,,,,,,,,,Epb4.1l1,,,,,,
,,Slc11a2,,,,,,,,,Epb4.1l3,,,,,,
,,Slc16a1,,,,,,,,,Epb4.1l4a,,,,,,
,,Slc16a10,,,,,,,,,Epb4.1l4b,,,,,,
,,Slc17a5,,,,,,,,,Epb4.1l5,,,,,,
,,Slc24a6,,,,,,,,,Epb4.9,,,,,,
,,Slc25a12,,,,,,,,,Epha1,,,,,,
,,Slc2a10,,,,,,,,,Ephb3,,,,,,
,,Slc2a8,,,,,,,,,Ephx1,,,,,,
,,Slc31a2,,,,,,,,,Ephx2,,,,,,
,,Slc35b1,,,,,,,,,Eppk1,,,,,,
,,Slc35b4,,,,,,,,,Eps8,,,,,,
,,Slc37a3,,,,,,,,,Eps8l1,,,,,,
,,Slc41a1,,,,,,,,,Ept1,,,,,,
,,Slc41a3,,,,,,,,,Erbb2,,,,,,
,,Slc43a1,,,,,,,,,Erbb3,,,,,,
,,Slc46a1,,,,,,,,,Ercc3,,,,,,
,,Slc8a1,,,,,,,,,Ercc6,,,,,,
,,Slc9a3r2,,,,,,,,,Esco1,,,,,,
,,Smad3,,,,,,,,,Esf1,,,,,,
,,Smad5,,,,,,,,,Espn,,,,,,
,,Smad6,,,,,,,,,Esrp2,,,,,,
,,Smarcd3,,,,,,,,,Esrra,,,,,,
,,Smtn,,,,,,,,,Etf1,,,,,,
,,Snapc2,,,,,,,,,Etfa,,,,,,
,,Snhg7,,,,,,,,,Etfdh,,,,,,
,,Snhg8,,,,,,,,,Ethe1,,,,,,
,,Snora31,,,,,,,,,Etl4,,,,,,
,,Snord104,,,,,,,,,Etnk1,,,,,,
,,Snrpc,,,,,,,,,Etv3,,,,,,
,,Snx18,,,,,,,,,Etv6,,,,,,
,,Snx21,,,,,,,,,Evl,,,,,,
,,Snx24,,,,,,,,,Ewsr1,,,,,,
,,Snx9,,,,,,,,,Exoc3,,,,,,
,,Sobp,,,,,,,,,Exoc6,,,,,,
,,Socs2,,,,,,,,,Exoc7,,,,,,
,,Sorbs1,,,,,,,,,Exosc10,,,,,,
,,Sorbs3,,,,,,,,,Exosc2,,,,,,
,,Sostdc1,,,,,,,,,Exosc3,,,,,,
,,Sox9,,,,,,,,,Exosc5,,,,,,
,,Sp100,,,,,,,,,Exosc6,,,,,,
,,Spag9,,,,,,,,,Eya2,,,,,,
,,Spata13,,,,,,,,,Eya3,,,,,,
,,Spata6,,,,,,,,,Ezh2,,,,,,
,,Spats2,,,,,,,,,F2rl1,,,,,,
,,Specc1l,,,,,,,,,F8a,,,,,,
,,Spred1,,,,,,,,,Faah,,,,,,
,,Sprn,,,,,,,,,Fads2,,,,,,
,,Spry1,,,,,,,,,Faf1,,,,,,
,,Spsb1,,,,,,,,,Fah,,,,,,
,,Spsb2,,,,,,,,,Fahd2a,,,,,,
,,Spty2d1,,,,,,,,,Faim,,,,,,
,,Srgap2,,,,,,,,,Fam100a,,,,,,
,,Ssh2,,,,,,,,,Fam100b,,,,,,
,,St3gal2,,,,,,,,,Fam101b,,,,,,
,,St6galnac6,,,,,,,,,Fam103a1,,,,,,
,,Stag1,,,,,,,,,Fam105b,,,,,,
,,Stard13,,,,,,,,,Fam108b,,,,,,
,,Stat1,,,,,,,,,Fam108c,,,,,,
,,Stat2,,,,,,,,,Fam110a,,,,,,
,,Stat5a,,,,,,,,,Fam118a,,,,,,
,,Stbd1,,,,,,,,,Fam120b,,,,,,
,,Stk3,,,,,,,,,Fam122a,,,,,,
,,Ston1,,,,,,,,,Fam125a,,,,,,
,,Stx2,,,,,,,,,Fam133b,,,,,,
,,Stx4a,,,,,,,,,Fam134b,,,,,,
,,Stxbp1,,,,,,,,,Fam134c,,,,,,
,,Sumf2,,,,,,,,,Fam136a,,,,,,
,,Susd2,,,,,,,,,Fam160a1,,,,,,
,,Synj2,,,,,,,,,Fam160a2,,,,,,
,,Tanc1,,,,,,,,,Fam160b2,,,,,,
,,Taok2,,,,,,,,,Fam162a,,,,,,
,,Tap1,,,,,,,,,Fam173a,,,,,,
,,Tap2,,,,,,,,,Fam174a,,,,,,
,,Tapbpl,,,,,,,,,Fam176a,,,,,,
,,Tbc1d19,,,,,,,,,Fam188a,,,,,,
,,Tbc1d4,,,,,,,,,Fam192a,,,,,,
,,Tbc1d8b,,,,,,,,,Fam20b,,,,,,
,,Tbc1d9b,,,,,,,,,Fam32a,,,,,,
,,Tbcel,,,,,,,,,Fam40a,,,,,,
,,Tbl2,,,,,,,,,Fam49b,,,,,,
,,Tbx20,,,,,,,,,Fam53a,,,,,,
,,Tbx4,,,,,,,,,Fam57a,,,,,,
,,Tceal1,,,,,,,,,Fam59a,,,,,,
,,Tceb3,,,,,,,,,Fam60a,,,,,,
,,Tcf12,,,,,,,,,Fam63a,,,,,,
,,Tcf7,,,,,,,,,Fam63b,,,,,,
,,Tcf7l1,,,,,,,,,Fam81a,,,,,,
,,Tctex1d2,,,,,,,,,Fam82b,,,,,,
,,Tex261,,,,,,,,,Fam83b,,,,,,
,,Tfcp2,,,,,,,,,Fam83f,,,,,,
,,Tgfb1,,,,,,,,,Fam83g,,,,,,
,,Tgfb2,,,,,,,,,Fam84b,,,,,,
,,Tgtp2,,,,,,,,,Fam98a,,,,,,
,,Thap11,,,,,,,,,Fam98c,,,,,,
,,Thap3,,,,,,,,,Fancl,,,,,,
,,Thbs3,,,,,,,,,Fars2,,,,,,
,,Thnsl2,,,,,,,,,Farsa,,,,,,
,,Thoc6,,,,,,,,,Farsb,,,,,,
,,Thra,,,,,,,,,Fastkd3,,,,,,
,,Tifa,,,,,,,,,Fat1,,,,,,
,,Tipin,,,,,,,,,Fbl,,,,,,
,,Tlcd2,,,,,,,,,Fbp1,,,,,,
,,Tle6,,,,,,,,,Fbrsl1,,,,,,
,,Tlr4,,,,,,,,,Fbxl5,,,,,,
,,Tm4sf1,,,,,,,,,Fbxo28,,,,,,
,,Tmco3,,,,,,,,,Fbxo3,,,,,,
,,Tmed7,,,,,,,,,Fbxo34,,,,,,
,,Tmeff1,,,,,,,,,Fbxo36,,,,,,
,,Tmem109,,,,,,,,,Fbxo38,,,,,,
,,Tmem129,,,,,,,,,Fbxo42,,,,,,
,,Tmem138,,,,,,,,,Fbxo46,,,,,,
,,Tmem14c,,,,,,,,,Fbxo7,,,,,,
,,Tmem173,,,,,,,,,Fbxw11,,,,,,
,,Tmem175,,,,,,,,,Fbxw5,,,,,,
,,Tmem184b,,,,,,,,,Fbxw7,,,,,,
,,Tmem184c,,,,,,,,,Fbxw9,,,,,,
,,Tmem214,,,,,,,,,Fcf1,,,,,,
,,Tmem218,,,,,,,,,Fdx1l,,,,,,
,,Tmem231,,,,,,,,,Fermt1,,,,,,
,,Tmem30a,,,,,,,,,Fermt3,,,,,,
,,Tmem38a,,,,,,,,,Fgf1,,,,,,
,,Tmem47,,,,,,,,,Fgfr1op2,,,,,,
,,Tmem65,,,,,,,,,Fgfr3,,,,,,
,,Tmem86a,,,,,,,,,Fgfrl1,,,,,,
,,Tmem88,,,,,,,,,Fh1,,,,,,
,,Tmem97,,,,,,,,,Fibp,,,,,,
,,Tmod2,,,,,,,,,Fip1l1,,,,,,
,,Tmtc1,,,,,,,,,Fitm2,,,,,,
,,Tmx3,,,,,,,,,Fiz1,,,,,,
,,Tnfaip6,,,,,,,,,Fkbp4,,,,,,
,,Tnfrsf1b,,,,,,,,,Fkbp5,,,,,,
,,Tnfrsf23,,,,,,,,,Flad1,,,,,,
,,Tnip1,,,,,,,,,Flywch2,,,,,,
,,Tnrc6a,,,,,,,,,Foxk1,,,,,,
,,Tnrc6b,,,,,,,,,Foxn2,,,,,,
,,Tnrc6c,,,,,,,,,Foxp2,,,,,,
,,Tpd52l2,,,,,,,,,Foxp4,,,,,,
,,Tprkb,,,,,,,,,Foxred1,,,,,,
,,Traf5,,,,,,,,,Fpgt,,,,,,
,,Trak1,,,,,,,,,Frg1,,,,,,
,,Trak2,,,,,,,,,Frk,,,,,,
,,Trerf1,,,,,,,,,Frmd8,,,,,,
,,Tril,,,,,,,,,Frrs1,,,,,,
,,Trim12c,,,,,,,,,Fry,,,,,,
,,Trim2,,,,,,,,,Fryl,,,,,,
,,Trim3,,,,,,,,,Fstl4,,,,,,
,,Trim30a,,,,,,,,,Ftsj3,,,,,,
,,Trim35,,,,,,,,,Fubp1,,,,,,
,,Trio,,,,,,,,,Fubp3,,,,,,
,,Trnp1,,,,,,,,,Fyttd1,,,,,,
,,Trove2,,,,,,,,,Fzd5,,,,,,
,,Trpm7,,,,,,,,,G2e3,,,,,,
,,Tsc2,,,,,,,,,G3bp1,,,,,,
,,Tshz1,,,,,,,,,G3bp2,,,,,,
